x:-0.208,y:-0.006,z:-0.049
x:-0.060,y:-0.204,z:0.032
x:-0.228,y:-0.102,z:0.060
x:-0.029,y:-0.257,z:0.140
x:0.517,y:-0.462,z:-0.116
x:-0.095,y:-0.197,z:0.203
x:0.189,y:0.083,z:0.154
x:-0.095,y:-0.204,z:0.128
x:0.211,y:-0.084,z:-0.153
x:-0.054,y:-0.139,z:0.145
x:0.233,y:0.478,z:-0.185
x:-0.110,y:-0.057,z:-0.080
x:-0.192,y:0.065,z:0.029
x:0.169,y:-0.073,z:-0.349
x:-0.033,y:0.208,z:0.259
x:0.150,y:0.026,z:0.291
x:-0.331,y:-0.457,z:0.020
x:-0.351,y:0.029,z:-0.224
x:0.194,y:0.136,z:-0.429
x:-0.158,y:0.281,z:0.331
x:-0.020,y:-0.365,z:-0.519
x:-0.325,y:-0.119,z:-0.003
x:-0.061,y:-0.237,z:0.289
x:-0.116,y:-0.327,z:-0.199
x:-0.145,y:-0.026,z:-0.076
x:0.108,y:-0.109,z:-0.153
x:-0.187,y:-0.198,z:-0.181
x:0.230,y:-0.039,z:-0.080
x:0.018,y:-0.146,z:-0.320
x:0.063,y:-0.172,z:0.161
x:0.132,y:0.251,z:0.021
x:-0.194,y:-0.160,z:-0.296
x:0.045,y:-0.138,z:0.001
x:-0.228,y:0.092,z:0.082
x:0.401,y:0.185,z:0.276
x:0.073,y:0.309,z:0.611
x:-0.035,y:-0.315,z:0.109
x:-0.186,y:0.386,z:-0.210
x:0.133,y:-0.042,z:-0.044
x:-0.155,y:0.098,z:-0.162
x:0.469,y:0.195,z:0.325
x:-0.345,y:-0.190,z:-0.479
x:0.330,y:-0.157,z:-0.094
x:0.152,y:-0.055,z:-0.358
x:-0.061,y:-0.002,z:-0.153
x:0.112,y:0.083,z:0.094
x:0.405,y:0.027,z:-0.082
x:-0.262,y:-0.375,z:-0.016
x:-0.113,y:-0.561,z:0.508
x:0.238,y:0.204,z:0.224
x:-0.384,y:0.219,z:0.140
x:0.054,y:-0.240,z:0.199
x:0.031,y:0.041,z:-0.002
x:-0.128,y:0.066,z:0.015
x:0.090,y:0.232,z:-0.006
x:0.269,y:-0.089,z:-0.064
x:-0.324,y:-0.118,z:-0.323
x:-0.095,y:-0.121,z:0.382
x:0.232,y:-0.069,z:-0.210
x:-0.153,y:-0.038,z:-0.363
x:-0.027,y:-0.069,z:0.311
